Question,Answer
What is KIIT?,"KIIT (Kalinga Institute of Industrial Technology) is a private deemed university located in Bhubaneswar, Odisha, India. It was founded in 1992 by Dr. Achyuta Samanta and received university status in 2004."
When was KIIT established?,KIIT was established in 1992 as an Industrial Training Institute with only twelve students and two faculty members. It received deemed university status in 2004.
Who is the founder of KIIT?,KIIT was founded by Prof. Achyuta Samanta in 1992. He started both KIIT and KISS (Kalinga Institute of Social Sciences) with just Rs 5000 in his pocket.
Where is KIIT located?,"KIIT is located in Bhubaneswar, Odisha, India. The main campus is at Patia, Bhubaneswar, 751024."
What is the campus size of KIIT?,"KIIT campus is spread across 8,900 acres (36 square kilometers) with multiple campuses. It has modern architecture blending with natural beauty."
What is KIIT's motto?,KIIT's motto is 'Sā Vidyā Yā Vimuktayē' which means 'Knowledge is that which liberates' in Sanskrit.
How many students study at KIIT?,"KIIT has over 40,000 students, including approximately 30,000 from all over India and around 2,000 international students from 65 countries."
How many faculty members does KIIT have?,"KIIT has over 3,000 faculty members and researchers, along with 15,000 staff members across all schools."
What is KIIT's NIRF ranking 2025?,"In NIRF 2025, KIIT ranked 17th among universities in India, 27th in the overall category, 36th in engineering, and 43rd in research institutions."
What is KIIT's QS ranking?,"KIIT is ranked in the 1001-1200 band in QS World University Rankings 2026, and 257th in QS Asia Rankings 2025. It is ranked 55th in QS Asian University Rankings - Southern Asia."
What is KIIT's Times Higher Education ranking?,"KIIT is ranked in the 501-600 cohort in Times Higher Education World University Rankings 2026, and 184th in THE Asia University Rankings 2025."
What is KIIT's NAAC grade?,KIIT has been accredited with A++ Grade by NAAC (National Assessment and Accreditation Council).
What awards has KIIT received?,KIIT was ranked No. 1 by ARIIA (Atal Ranking of Institutions on Innovation Achievements) 2021 among private universities. It received THE Awards Asia for Leadership and Management Team of the Year. KIIT is India's first QS 5 Stars rated university.
How many courses does KIIT offer?,"KIIT offers 243 courses across 265 programs at UG, PG, and doctoral levels through 26 constituent schools in various disciplines."
What are the popular courses at KIIT?,"Popular courses include B.Tech (especially Computer Science, Aerospace Engineering), MBA, MCA, MBBS, M.Tech, B.Sc Nursing, BBA, and BCA."
What B.Tech specializations are available at KIIT?,"KIIT offers B.Tech in 25 specializations including Computer Science & Engineering, AI & ML, Cyber Security, Data Science, IoT, Mechanical, Civil, Electrical, Electronics, Aerospace, and Chemical Engineering."
Does KIIT offer MBA programs?,"Yes, KIIT offers MBA programs through KIIT School of Management with specializations in Marketing, Finance, Human Resources, Agribusiness, Rural Management, Business Analytics, Healthcare Management, and Supply Chain Management."
What is the duration of B.Tech at KIIT?,The B.Tech program at KIIT is a 4-year undergraduate program. KIIT also offers B.Tech lateral entry (3 years) and dual degree B.Tech + M.Tech (5 years) programs.
Does KIIT offer medical courses?,"Yes, KIIT offers MBBS through Kalinga Institute of Medical Sciences (KIMS), BDS through Dental Sciences, B.Sc Nursing, MD, MDS, and various other medical programs."
What law courses are available at KIIT?,"KIIT School of Law offers BA LLB (5 years), BBA LLB (5 years), B.Sc LLB (5 years), and LLM programs."
What is KIITEE?,"KIITEE (KIIT Entrance Examination) is the All India entrance examination conducted by KIIT for admission to various undergraduate and postgraduate courses except MBBS, BDS, and PG Medical/Dental courses."
Is there any application fee for KIITEE?,"No, there is no application fee required for the KIITEE examination."
What is the duration of KIITEE exam?,The KIITEE exam duration is 2 hours and 30 minutes (150 minutes).
What is the exam pattern for KIITEE B.Tech?,"KIITEE B.Tech exam consists of 120 multiple choice questions (40 each in Physics, Chemistry, and Mathematics). Each correct answer carries 4 marks with negative marking of -1 for wrong answers. Total marks: 480."
What is the eligibility for B.Tech admission at KIIT?,"Candidates who have passed 10+2 examination in 2023, 2024, or appearing in 2025 with Physics, Chemistry, and Mathematics (60% aggregate) are eligible for B.Tech at KIIT."
